sgRNA,Gene,log2FC_Day4_mTeSR_r1_vs_plasmid,log2FC_Day4_mTeSR_r2_vs_plasmid,log2FC_Day7_E6_r1_vs_plasmid,log2FC_Day7_E6_r2_vs_plasmid,log2FC_Day7_mTeSR_r1_vs_plasmid,log2FC_Day7_mTeSR_r2_vs_plasmid,log2FC_Day9_E6_r1_vs_plasmid,log2FC_Day9_E6_r2_vs_plasmid,log2FC_Day9_mTeSR_r1_vs_plasmid,log2FC_Day9_mTeSR_r2_vs_plasmid,log2FC_Day14_E6_r1_vs_plasmid,log2FC_Day14_E6_r2_vs_plasmid,log2FC_Day14_mTeSR_r1_vs_plasmid,log2FC_Day14_mTeSR_r2_vs_plasmid
GS0308_INHBB_HUMAN,INHBB,-1.1337640303352303,-1.1670488321775832,-1.002732832035928,-1.626265454336087,-1.6749166882586255,-0.8858501895440938,-1.5069030293877912,-1.3731726339426356,-1.446325644911882,-1.1018431543092184,-1.110149717615137,-1.8186079575974752,-1.568181634503393,-1.3140314935257376
GS0309_INHBC_HUMAN,INHBC,-0.9940708929084484,-1.0227543852302148,-1.1099260098425177,-0.9401985972352964,-1.1001065637500371,-0.6835610639319878,-0.9879831264813888,-1.3611609785564038,-0.9696509514423486,-0.6820198352100508,-1.208754523418964,-1.120844155771696,-1.016180808041813,-0.6635216195368105
GS0310_INHBE_HUMAN,INHBE,1.1547986594850546,1.260527529115155,1.1202167407374637,1.2304930123827835,1.4812908420096775,0.8325951110059346,1.170810840137218,1.1088662264210516,1.0600856692775371,0.9627377286509252,1.0812869079363914,0.9226488230662024,1.0228883895979166,0.9196151690367528
GS0311_INS_HUMAN,INS,-0.2175884400960495,-0.307013503952902,-0.2452894014499644,-0.1771813231979955,-0.1131970524994105,-0.4644728252120096,-0.2545138943188796,-0.231112233092654,-0.0235176249277024,-0.5409664557748055,-0.4534474711248712,-0.3351005388486694,-0.1326422366346094,-0.5632347050637332
GS0312_INSL3_HUMAN,INSL3,-0.5154158466760457,-0.0898638027691198,-0.612881186623758,-0.3562314230688503,-0.1910867667843163,-0.1888362906954679,-0.3148158735179525,-0.5250768349987514,-0.3774153577809311,-0.427727601105774,-0.4907982391069527,-0.795903614842965,-0.4241727544354905,-0.212071009435709
GS0313_INSL4_HUMAN,INSL4,0.0003014544678414,-0.7930755757325674,-0.5638564361504397,-0.3515189030256085,-0.8121010495431822,-0.5438559873651947,-0.9026933402962384,-0.4943065118603744,-0.2796525071622433,-0.6333323508446966,-0.5784232909756977,-0.5203350673369567,-0.783745035029531,-0.598062079607816
GS0314_INSL5_HUMAN,INSL5,-0.4441681636043277,-0.529707183921083,-0.4935175340636011,-0.3396875219380249,-0.2482810257387484,-0.2849203958687525,-0.2611668535098648,-0.4777296019575701,-0.3303955649721004,-0.1805078976031939,-0.534159104902308,-0.4298145873411094,-0.3700808056517441,-0.3783870900474149
GS0315_INSL6_HUMAN,INSL6,-1.9477013718035712,-1.6482213722412895,-1.5408747159812304,-1.600512430939764,-1.6344240846280886,-1.2507789429673777,-1.032748283312694,-2.213136433214311,-1.3738321235296755,-1.640027687210683,-1.3746762284102747,-1.704105960087137,-1.5034388814579067,-1.702607718322113
GS0316_INSR2_HUMAN,INSR2,-0.9296798124174276,-0.5262496702069601,-0.3157028771283965,-0.6031082967749501,-0.731319980092163,-0.3741487846385407,-0.8118915799336648,-0.3640262586944729,-0.8575878399508863,-0.3103530154708362,-0.5877844561157808,-0.9974751842958334,-0.7235372305665528,-0.3420439723732862
GS0319_KLOT_HUMAN,KLOT,2.4069615789573566,3.025969898119202,-2.801853718543044,2.2682818828826345,-2.801853718543044,3.356107542294948,0.2730319506375318,4.166276834109212,-2.801853718543044,2.2683051901494977,-2.801853718543044,3.174684616978527,-2.801853718543044,0.7082194464097591
